0.00992% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; p; maxpool; (5, 5); 1; (2, 2);; v: view;; l; linear; (307200, 10);; l; linear; (10, 10);; a; relu;; l; linear; (10, 2);; 
24.80880% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; p; maxpool; (5, 5); 1; (2, 2);; v: view;; l; linear; (307200, 10);; a; relu;; l; linear; (10, 10);; l; linear; (10, 2);; 
0.02528% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; p; maxpool; (5, 5); 1; (2, 2);; v: view;; l; linear; (307200, 10);; a; relu;; l; linear; (10, 10);; a; relu;; l; linear; (10, 2);; 
24.77064% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; a; relu;; p; avgpool; (3, 3); 1; (1, 1);; v: view;; l; linear; (307200, 10);; l; linear; (10, 10);; l; linear; (10, 2);; 
0.03312% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; a; relu;; p; avgpool; (3, 3); 1; (1, 1);; v: view;; l; linear; (307200, 10);; l; linear; (10, 10);; a; relu;; l; linear; (10, 2);; 
0.02233% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; a; relu;; p; avgpool; (3, 3); 1; (1, 1);; v: view;; l; linear; (307200, 10);; a; relu;; l; linear; (10, 10);; l; linear; (10, 2);; 
24.80880% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; a; relu;; p; avgpool; (3, 3); 1; (1, 1);; v: view;; l; linear; (307200, 10);; a; relu;; l; linear; (10, 10);; a; relu;; l; linear; (10, 2);; 
1.55055% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; a; relu;; p; avgpool; (5, 5); 1; (2, 2);; v: view;; l; linear; (307200, 10);; l; linear; (10, 10);; l; linear; (10, 2);; 
0.03744% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; a; relu;; p; avgpool; (5, 5); 1; (2, 2);; v: view;; l; linear; (307200, 10);; l; linear; (10, 10);; a; relu;; l; linear; (10, 2);; 
24.80880% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; a; relu;; p; avgpool; (5, 5); 1; (2, 2);; v: view;; l; linear; (307200, 10);; a; relu;; l; linear; (10, 10);; l; linear; (10, 2);; 
0.08148% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; a; relu;; p; avgpool; (5, 5); 1; (2, 2);; v: view;; l; linear; (307200, 10);; a; relu;; l; linear; (10, 10);; a; relu;; l; linear; (10, 2);; 
0.02233% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; a; relu;; p; maxpool; (3, 3); 1; (1, 1);; v: view;; l; linear; (307200, 10);; l; linear; (10, 10);; l; linear; (10, 2);; 
0.00955% l; conv2d; (1, 16); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (16, 48); (3, 3); 1; (1, 1);; p; avgpool; (3, 3); 1; (1, 1);; l; conv2d; (48, 48); (11, 21); 1; (5, 10);; a; relu;; p; maxpool; (3, 3); 1; (1, 1);; v: view;; l; linear; (307200, 10);; l; linear; (10, 10);; a; relu;; l; linear; (10, 2);; 
