['2025-05-07-00-39-33_0', [1, 100]]
['2025-05-07-00-42-02_0', [1, 100]]
['2025-05-07-00-44-32_0', [1, 100]]
['2025-05-07-00-47-01_0', [1, 100]]
['2025-05-07-00-49-30_0', [1, 100]]
['2025-05-07-00-51-59_0', [1, 100]]
['2025-05-07-00-54-29_0', [1, 100]]
['2025-05-07-00-56-57_0', [1, 100]]
['2025-05-07-00-59-27_0', [1, 100]]
['2025-05-07-01-01-56_0', [1, 100]]
['2025-05-07-01-04-24_0', [1, 100]]
['2025-05-07-01-06-53_0', [1, 100]]
['2025-05-07-01-09-22_0', [1, 100]]
['2025-05-07-01-11-50_0', [1, 100]]
['2025-05-07-01-14-19_0', [1, 100]]
['2025-05-07-01-16-48_0', [1, 100]]
['2025-05-07-01-19-16_0', [1, 100]]
['2025-05-07-01-21-44_0', [1, 100]]
['2025-05-07-01-24-13_0', [1, 100]]
['2025-05-07-01-26-43_0', [1, 100]]
['2025-05-07-01-29-11_0', [1, 100]]
['2025-05-07-01-31-39_0', [1, 100]]
['2025-05-07-01-34-08_0', [1, 100]]
['2025-05-07-01-36-38_0', [1, 100]]
['2025-05-07-01-39-05_0', [1, 100]]
['2025-05-07-01-41-34_0', [1, 100]]
['2025-05-07-01-44-04_0', [1, 100]]
['2025-05-07-01-46-32_0', [1, 100]]
['2025-05-07-01-49-00_0', [1, 100]]
['2025-05-07-01-51-28_0', [1, 100]]
['2025-05-07-01-53-57_0', [1, 100]]
['2025-05-07-01-56-26_0', [1, 100]]
['2025-05-07-01-58-54_0', [1, 100]]
['2025-05-07-02-01-22_0', [1, 100]]
['2025-05-07-02-03-51_0', [1, 100]]
['2025-05-07-02-06-19_0', [1, 100]]
['2025-05-07-02-08-49_0', [1, 100]]
['2025-05-07-02-11-17_0', [1, 100]]
['2025-05-07-02-13-46_0', [1, 100]]
['2025-05-07-02-16-17_0', [1, 100]]
['2025-05-07-02-18-45_0', [1, 100]]
['2025-05-07-02-21-14_0', [1, 100]]
['2025-05-07-02-23-43_0', [1, 100]]
['2025-05-07-02-26-11_0', [1, 100]]
['2025-05-07-02-28-44_0', [1, 100]]
['2025-05-07-02-31-13_0', [1, 100]]
['2025-05-07-02-33-43_0', [1, 100]]
['2025-05-07-02-36-12_0', [1, 100]]
['2025-05-07-02-38-41_0', [1, 100]]
['2025-05-07-02-41-09_0', [1, 100]]
['2025-05-07-02-43-39_0', [1, 100]]
['2025-05-07-02-46-08_0', [1, 100]]
['2025-05-07-02-48-35_0', [1, 100]]
['2025-05-07-02-51-04_0', [1, 100]]
['2025-05-07-02-53-32_0', [1, 100]]
['2025-05-07-02-56-01_0', [1, 100]]
['2025-05-07-02-58-30_0', [1, 100]]
['2025-05-07-03-00-58_0', [1, 100]]
['2025-05-07-03-03-29_0', [1, 100]]
['2025-05-07-03-05-57_0', [1, 100]]
['2025-05-07-03-08-25_0', [1, 100]]
['2025-05-07-03-10-53_0', [1, 100]]
['2025-05-07-03-13-23_0', [1, 100]]
['2025-05-07-03-15-52_0', [1, 100]]
['2025-05-07-03-18-21_0', [1, 100]]
['2025-05-07-03-20-49_0', [1, 100]]
['2025-05-07-03-23-18_0', [1, 100]]
['2025-05-07-03-25-47_0', [1, 100]]
['2025-05-07-03-28-16_0', [1, 100]]
['2025-05-07-03-30-45_0', [1, 100]]
['2025-05-07-03-33-14_0', [1, 100]]
['2025-05-07-03-35-42_0', [1, 100]]
['2025-05-07-03-38-10_0', [1, 100]]
['2025-05-07-03-40-39_0', [1, 100]]
['2025-05-07-03-43-08_0', [1, 100]]
['2025-05-07-03-45-38_0', [1, 100]]
['2025-05-07-03-48-07_0', [1, 100]]
['2025-05-07-03-50-35_0', [1, 100]]
['2025-05-07-03-53-05_0', [1, 100]]
['2025-05-07-03-55-33_0', [1, 100]]
['2025-05-07-03-58-01_0', [1, 100]]
['2025-05-07-04-00-31_0', [1, 100]]
['2025-05-07-04-03-02_0', [1, 100]]
['2025-05-07-04-05-35_0', [1, 100]]
['2025-05-07-04-08-05_0', [1, 100]]
['2025-05-07-04-10-33_0', [1, 100]]
['2025-05-07-04-13-04_0', [1, 100]]
['2025-05-07-04-15-32_0', [1, 100]]
['2025-05-07-04-18-01_0', [1, 100]]
['2025-05-07-04-20-29_0', [1, 100]]
['2025-05-07-04-22-58_0', [1, 100]]
['2025-05-07-04-25-28_0', [1, 100]]
['2025-05-07-04-27-57_0', [1, 100]]
['2025-05-07-04-30-27_0', [1, 100]]
['2025-05-07-04-32-56_0', [1, 100]]
['2025-05-07-04-35-24_0', [1, 100]]
['2025-05-07-04-37-53_0', [1, 100]]
['2025-05-07-04-40-22_0', [1, 100]]
['2025-05-07-04-42-50_0', [1, 100]]
['2025-05-07-04-45-20_0', [1, 100]]
['2025-05-07-04-47-49_0', [1, 100]]
['2025-05-07-04-50-18_0', [1, 100]]
['2025-05-07-04-52-46_0', [1, 100]]
['2025-05-07-04-55-14_0', [1, 100]]
['2025-05-07-04-57-42_0', [1, 100]]
['2025-05-07-05-00-11_0', [1, 100]]
['2025-05-07-05-02-39_0', [1, 100]]
['2025-05-07-05-05-10_0', [1, 100]]
['2025-05-07-05-07-38_0', [1, 100]]
